name,s_Q,s_F2,s_F3,ss_2,ss_3,ss_{1+i},ss_{1+w},s_F2 = ss_2,s_F2 = ss_{1+i},s_F3 = ss_3,s_F3 = s_{1+w}
14n19265,0,-2,0,-2,0,-2,0,TRUE,TRUE,TRUE,TRUE
14n22180,0,2,0,2,0,2,0,TRUE,TRUE,TRUE,TRUE
15n040226,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n041127,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n041140,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n048439,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n052310,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n052477,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n052495,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n053135,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n057674,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n059044,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n059184,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n083419,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n084460,4,2,4,2,4,2,4,TRUE,TRUE,TRUE,TRUE
15n094892,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n115486,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n116118,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n116363,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n124915,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n127312,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n127580,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n129563,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n130691,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n132535,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n132615,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n132623,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n132672,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n132684,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n135086,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n135095,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n139104,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n140905,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n141051,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n141061,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n141556,2,0,2,0,2,0,2,TRUE,TRUE,TRUE,TRUE
15n141560,-2,0,-2,0,-2,0,-2,TRUE,TRUE,TRUE,TRUE
15n149575,0,2,0,2,0,2,0,TRUE,TRUE,TRUE,TRUE
