name,s_Q,s_F2,ss_2,ss_{1+i},ss_{1+i}:m,ss_{1+i}:r,all equal
18nh_09772775,-2,-2,-2,-2,2,-2,TRUE
18nh_14077348,2,2,2,2,-2,2,TRUE
18nh_15848180,-2,-2,-2,-2,2,-2,TRUE
18nh_16042369,-2,-2,-2,-2,2,-2,TRUE
18nh_16534554,2,2,2,2,-2,2,TRUE
18nh_18744650,-2,-2,-2,-2,2,-2,TRUE
18nh_20994587,-2,-2,-2,-2,2,-2,TRUE
18nh_21222170,2,2,2,2,-2,2,TRUE
18nh_22033965,-2,-2,-2,-2,2,-2,TRUE
18nh_23345595,-2,-2,-2,-2,2,-2,TRUE
18nh_23366096,-2,-2,-2,-2,2,-2,TRUE
18nh_23976466,2,2,2,2,-2,2,TRUE
18nh_25766136,-2,-2,-2,-2,2,-2,TRUE
18nh_26738105,2,2,2,2,-2,2,TRUE
18nh_29018841,2,2,2,2,-2,2,TRUE
18nh_29199759,-2,-2,-2,-2,2,-2,TRUE
18nh_29322817,-2,-2,-2,-2,2,-2,TRUE
18nh_30157971,2,2,2,2,-2,2,TRUE
18nh_30493418,-2,-2,-2,-2,2,-2,TRUE
18nh_30646371,2,2,2,2,-2,2,TRUE
18nh_32607237,2,2,2,2,-2,2,TRUE
18nh_33531420,-2,-2,-2,-2,2,-2,TRUE
18nh_34174391,2,2,2,2,-2,2,TRUE
18nh_34472231,-2,-2,-2,-2,2,-2,TRUE
18nh_35736677,2,2,2,2,-2,2,TRUE
